Subject,Trial,Difficulty,Outcome
AN_S1,1,NO WIND,SUCCESSFUL
AN_S1,2,WIND,SUCCESSFUL
AN_S1,3,WIND,SUCCESSFUL
AN_S1,4,NO WIND,SUCCESSFUL
AN_S1,5,WIND,SUCCESSFUL
AN_S1,6,NO WIND,SUCCESSFUL
AN_S1,7,NO WIND,SUCCESSFUL
AN_S1,8,WIND,SUCCESSFUL
AN_S1,9,EMERGENCY,SUCCESSFUL
AN_S10,1,NO WIND,SUCCESSFUL
AN_S10,2,WIND,CRASH
AN_S10,3,WIND,SUCCESSFUL
AN_S10,4,NO WIND,SUCCESSFUL
AN_S10,5,WIND,SUCCESSFUL
AN_S10,6,NO WIND,SUCCESSFUL
AN_S10,7,NO WIND,SUCCESSFUL
AN_S10,8,WIND,SUCCESSFUL
AN_S10,9,EMERGENCY,SUCCESSFUL
AN_S10,10,NO WIND,SUCCESSFUL
AN_S10,11,NO WIND,SUCCESSFUL
AN_S10,12,NO WIND,SUCCESSFUL
AN_S10,13,NO WIND,SUCCESSFUL
AN_S11,1,NO WIND,SUCCESSFUL
AN_S11,2,WIND,SUCCESSFUL
AN_S11,3,WIND,SUCCESSFUL
AN_S11,4,NO WIND,SUCCESSFUL
AN_S11,5,WIND,SUCCESSFUL
AN_S11,6,NO WIND,SUCCESSFUL
AN_S11,7,NO WIND,SUCCESSFUL
AN_S11,8,WIND,SUCCESSFUL
AN_S11,9,EMERGENCY,SUCCESSFUL
AN_S12,1,NO WIND,CRASH
AN_S12,2,WIND,SUCCESSFUL
AN_S12,3,WIND,CRASH
AN_S12,4,NO WIND,SUCCESSFUL
AN_S12,5,WIND,CRASH
AN_S12,6,NO WIND,SUCCESSFUL
AN_S12,7,NO WIND,SUCCESSFUL
AN_S12,8,WIND,SUCCESSFUL
AN_S12,9,EMERGENCY,SUCCESSFUL
AN_S13,1,NO WIND,SUCCESSFUL
AN_S13,2,WIND,SUCCESSFUL
AN_S13,3,WIND,SUCCESSFUL
AN_S13,4,NO WIND,SUCCESSFUL
AN_S13,5,WIND,SUCCESSFUL
AN_S13,6,NO WIND,SUCCESSFUL
AN_S13,7,NO WIND,SUCCESSFUL
AN_S13,8,WIND,SUCCESSFUL
AN_S13,9,EMERGENCY,SUCCESSFUL
AN_S14,1,NO WIND,SUCCESSFUL
AN_S14,2,WIND,SUCCESSFUL
AN_S14,3,WIND,SUCCESSFUL
AN_S14,4,NO WIND,SUCCESSFUL
AN_S14,5,WIND,SUCCESSFUL
AN_S14,6,NO WIND,SUCCESSFUL
AN_S14,7,NO WIND,SUCCESSFUL
AN_S14,8,WIND,X
AN_S14,9,EMERGENCY,SUCCESSFUL
AN_S14,10,NO WIND,SUCCESSFUL
AN_S14,11,NO WIND,SUCCESSFUL
AN_S14,12,NO WIND,SUCCESSFUL
AN_S14,13,NO WIND,SUCCESSFUL
AN_S15,1,NO WIND,SUCCESSFUL
AN_S15,2,WIND,SUCCESSFUL
AN_S15,3,WIND,SUCCESSFUL
AN_S15,4,NO WIND,SUCCESSFUL
AN_S15,5,WIND,SUCCESSFUL
AN_S15,6,NO WIND,SUCCESSFUL
AN_S15,7,NO WIND,SUCCESSFUL
AN_S15,8,WIND,SUCCESSFUL
AN_S15,9,EMERGENCY,SUCCESSFUL
AN_S16,1,NO WIND,SUCCESSFUL
AN_S16,2,WIND,SUCCESSFUL
AN_S16,3,WIND,SUCCESSFUL
AN_S16,4,NO WIND,SUCCESSFUL
AN_S16,5,WIND,SUCCESSFUL
AN_S16,6,NO WIND,SUCCESSFUL
AN_S16,7,NO WIND,SUCCESSFUL
AN_S16,8,WIND,SUCCESSFUL
AN_S16,9,EMERGENCY,SUCCESSFUL
AN_S16,10,NO WIND,SUCCESSFUL
AN_S16,11,NO WIND,SUCCESSFUL
AN_S16,12,NO WIND,SUCCESSFUL
AN_S16,13,NO WIND,SUCCESSFUL
AN_S17,1,NO WIND,SUCCESSFUL
AN_S17,2,WIND,SUCCESSFUL
AN_S17,3,WIND,SUCCESSFUL
AN_S17,4,NO WIND,SUCCESSFUL
AN_S17,5,WIND,SUCCESSFUL
AN_S17,6,NO WIND,SUCCESSFUL
AN_S17,7,NO WIND,SUCCESSFUL
AN_S17,8,WIND,SUCCESSFUL
AN_S17,9,EMERGENCY,SUCCESSFUL
AN_S17,10,NO WIND,SUCCESSFUL
AN_S17,11,NO WIND,SUCCESSFUL
AN_S17,12,NO WIND,SUCCESSFUL
AN_S17,13,NO WIND,SUCCESSFUL
AN_S18,1,NO WIND,SUCCESSFUL
AN_S18,2,NO WIND,SUCCESSFUL
AN_S18,3,NO WIND,SUCCESSFUL
AN_S18,4,NO WIND,X
AN_S19,1,NO WIND,SUCCESSFUL
AN_S19,2,WIND,SUCCESSFUL
AN_S19,3,WIND,SUCCESSFUL
AN_S19,4,NO WIND,SUCCESSFUL
AN_S19,5,WIND,SUCCESSFUL
AN_S19,6,NO WIND,SUCCESSFUL
AN_S19,7,NO WIND,SUCCESSFUL
AN_S19,8,WIND,SUCCESSFUL
AN_S19,9,EMERGENCY,SUCCESSFUL
AN_S19,10,NO WIND,SUCCESSFUL
AN_S19,11,NO WIND,SUCCESSFUL
AN_S19,12,NO WIND,SUCCESSFUL
AN_S19,13,NO WIND,SUCCESSFUL
AN_S2,1,NO WIND,SUCCESSFUL
AN_S2,2,WIND,SUCCESSFUL
AN_S2,3,WIND,SUCCESSFUL
AN_S2,4,NO WIND,SUCCESSFUL
AN_S2,5,WIND,SUCCESSFUL
AN_S2,6,NO WIND,SUCCESSFUL
AN_S2,7,NO WIND,SUCCESSFUL
AN_S2,8,WIND,SUCCESSFUL
AN_S2,9,EMERGENCY,SUCCESSFUL
AN_S20,1,NO WIND,SUCCESSFUL
AN_S20,2,WIND,SUCCESSFUL
AN_S20,3,WIND,SUCCESSFUL
AN_S20,4,NO WIND,SUCCESSFUL
AN_S20,5,WIND,SUCCESSFUL
AN_S20,6,NO WIND,SUCCESSFUL
AN_S20,7,NO WIND,SUCCESSFUL
AN_S20,8,WIND,SUCCESSFUL
AN_S20,9,EMERGENCY,SUCCESSFUL
AN_S20,10,NO WIND,SUCCESSFUL
AN_S20,11,NO WIND,SUCCESSFUL
